n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,avg_logloss,avg_accuracy,prediction,up_prob,down_prob
200,7,0.05,1.0,1.0,0.0,3.0,0.620102047920227,0.6561201772550904,UP,0.5174105167388916,0.4825894832611084
100,7,0.05,1.0,1.0,0.0,3.0,0.620102047920227,0.6561201772550904,UP,0.5174105167388916,0.4825894832611084
300,7,0.05,1.0,1.0,0.0,3.0,0.620102047920227,0.6561201772550904,UP,0.5174105167388916,0.4825894832611084
100,5,0.05,0.6,1.0,0.5,3.0,0.6201717704534531,0.6277843643765328,UP,0.5053886771202087,0.49461132287979126
200,5,0.05,0.6,1.0,0.5,3.0,0.6201717704534531,0.6277843643765328,UP,0.5053886771202087,0.49461132287979126
300,5,0.05,0.6,1.0,0.5,3.0,0.6201717704534531,0.6277843643765328,UP,0.5053886771202087,0.49461132287979126
100,7,0.03,1.0,1.0,0.5,3.0,0.6201921105384827,0.6574384295349763,DOWN,0.40377509593963623,0.5962249040603638
300,5,0.03,0.6,1.0,0.5,3.0,0.6203742921352386,0.6372626132033974,UP,0.5378290414810181,0.46217095851898193
200,5,0.03,0.6,1.0,0.5,3.0,0.6203742921352386,0.6372626132033974,UP,0.5378290414810181,0.46217095851898193
300,7,0.01,1.0,1.0,0.0,3.0,0.6204412579536438,0.655570794339603,DOWN,0.38635244965553284,0.6136475801467896
200,7,0.03,1.0,1.0,0.0,3.0,0.6205980777740479,0.6548936437485002,DOWN,0.4616171419620514,0.538382887840271
300,7,0.03,1.0,1.0,0.0,3.0,0.6205980777740479,0.6548936437485002,DOWN,0.4616171419620514,0.538382887840271
300,5,0.03,0.6,0.7,0.5,3.0,0.6207012683153152,0.641722395434204,UP,0.5215933918952942,0.4784066081047058
200,5,0.03,0.6,0.7,0.5,3.0,0.6207012683153152,0.641722395434204,UP,0.5215933918952942,0.4784066081047058
100,5,0.03,0.6,0.7,0.5,3.0,0.6207286715507507,0.6422325995158367,UP,0.5215933918952942,0.4784066081047058
300,5,0.05,0.8,0.7,0.0,1.0,0.6208240240812302,0.6554017233470344,UP,0.624933660030365,0.375066339969635
100,5,0.05,0.8,0.7,0.0,1.0,0.6208240240812302,0.6554017233470344,UP,0.624933660030365,0.375066339969635
200,5,0.05,0.8,0.7,0.0,1.0,0.6208240240812302,0.6554017233470344,UP,0.624933660030365,0.375066339969635
300,7,0.05,1.0,1.0,0.5,1.0,0.6209074556827545,0.6551503233757758,DOWN,0.31934720277786255,0.6806527972221375
100,7,0.05,1.0,1.0,0.5,1.0,0.6209074556827545,0.6551503233757758,DOWN,0.31934720277786255,0.6806527972221375
200,7,0.05,1.0,1.0,0.5,1.0,0.6209074556827545,0.6551503233757758,DOWN,0.31934720277786255,0.6806527972221375
200,7,0.03,1.0,1.0,0.5,1.0,0.6210323423147202,0.6498742221867722,DOWN,0.340838760137558,0.6591612100601196
300,7,0.03,1.0,1.0,0.5,1.0,0.6210323423147202,0.6498742221867722,DOWN,0.340838760137558,0.6591612100601196
